file,seed,N,wall,var_d
0000,0,20,7,6110
0001,1,26,97,14674
0002,2,21,118,1253
0003,3,33,154,32
0004,4,31,157,2895
0005,5,33,151,9695
0006,6,20,51,18429
0007,7,23,6,5211
0008,8,28,11,6890
0009,9,28,12,6972
0010,10,26,115,12696
0011,11,26,130,27349
0012,12,25,63,12487
0013,13,32,60,13885
0014,14,28,153,10665
0015,15,35,243,1007
0016,16,31,98,5901
0017,17,26,60,3138
0018,18,20,30,4428
0019,19,40,373,3220
0020,20,28,26,9253
0021,21,25,38,22015
0022,22,24,110,2577
0023,23,22,21,7915
0024,24,31,67,4053
0025,25,20,85,13541
0026,26,33,35,214
0027,27,24,141,7942
0028,28,23,59,1129
0029,29,35,136,6615
0030,30,36,28,2617
0031,31,26,42,4897
0032,32,31,218,81
0033,33,22,82,1436
0034,34,21,58,3475
0035,35,20,89,20567
0036,36,26,150,117
0037,37,20,44,71
0038,38,27,14,4194
0039,39,21,9,2830
0040,40,32,147,3867
0041,41,22,65,4084
0042,42,33,13,24562
0043,43,27,103,5178
0044,44,36,70,90
0045,45,26,98,3906
0046,46,23,6,14303
0047,47,35,37,7183
0048,48,38,269,9577
0049,49,25,101,13968
0050,50,24,32,5671
0051,51,27,46,36108
0052,52,33,224,738
0053,53,25,95,11271
0054,54,40,173,1639
0055,55,32,61,20004
0056,56,31,154,1427
0057,57,34,24,14111
0058,58,34,220,5445
0059,59,23,7,16432
0060,60,33,237,18156
0061,61,30,5,7339
0062,62,38,169,5050
0063,63,31,207,6243
0064,64,33,89,3253
0065,65,31,91,12
0066,66,26,62,5579
0067,67,32,108,13098
0068,68,20,87,15955
0069,69,21,58,675
0070,70,38,166,3338
0071,71,40,263,15209
0072,72,27,71,73
0073,73,28,98,998
0074,74,20,47,9055
0075,75,37,138,2187
0076,76,31,69,819
0077,77,20,32,46346
0078,78,24,39,2849
0079,79,30,123,3224
0080,80,26,134,8574
0081,81,33,218,3154
0082,82,33,184,8940
0083,83,26,169,2284
0084,84,30,109,5487
0085,85,21,15,816
0086,86,20,89,5048
0087,87,27,18,9624
0088,88,30,4,6049
0089,89,34,155,1172
0090,90,33,65,1786
0091,91,24,119,15115
0092,92,39,42,9577
0093,93,35,135,5333
0094,94,32,216,12740
0095,95,37,13,10007
0096,96,28,91,19138
0097,97,39,182,6871
0098,98,28,83,1870
0099,99,31,124,13193
0100,100,23,109,930
0101,101,21,123,8121
0102,102,38,157,13685
0103,103,39,157,2061
0104,104,27,153,9525
0105,105,26,56,10949
0106,106,23,28,17962
0107,107,29,120,160
0108,108,20,62,13
0109,109,23,11,15160
0110,110,36,143,28661
0111,111,36,138,9219
0112,112,24,11,3937
0113,113,37,246,1213
0114,114,27,171,3115
0115,115,37,130,3881
0116,116,40,272,5569
0117,117,37,112,7664
0118,118,38,105,14753
0119,119,31,16,6960
0120,120,27,83,12981
0121,121,29,76,5034
0122,122,35,84,15858
0123,123,36,270,5299
0124,124,20,80,1112
0125,125,32,118,9633
0126,126,35,153,15134
0127,127,36,38,654
0128,128,22,54,20000
0129,129,31,154,192
0130,130,39,205,4529
0131,131,31,158,5316
0132,132,35,249,7326
0133,133,31,115,2759
0134,134,35,134,26920
0135,135,37,227,1159
0136,136,36,250,8879
0137,137,26,95,799
0138,138,40,198,13660
0139,139,24,125,1888
0140,140,31,142,3988
0141,141,40,248,3651
0142,142,26,127,7204
0143,143,37,215,15279
0144,144,22,116,636
0145,145,28,12,7761
0146,146,35,77,5499
0147,147,39,92,12345
0148,148,22,6,5619
0149,149,29,57,23966
0150,150,26,142,16796
0151,151,20,63,17722
0152,152,33,211,8727
0153,153,25,129,31819
0154,154,21,76,9196
0155,155,28,147,10998
0156,156,21,49,9711
0157,157,23,83,539
0158,158,22,18,6869
0159,159,24,100,8658
0160,160,37,149,2373
0161,161,40,319,9600
0162,162,40,315,12343
0163,163,29,39,17794
0164,164,31,44,392
0165,165,26,90,1253
0166,166,29,52,2313
0167,167,39,147,12318
0168,168,39,11,11445
0169,169,28,134,13130
0170,170,24,120,21
0171,171,36,201,8817
0172,172,23,5,5700
0173,173,34,118,6156
0174,174,31,216,484
0175,175,33,24,10932
0176,176,20,64,309
0177,177,36,251,15310
0178,178,40,99,4676
0179,179,24,30,4571
0180,180,31,73,7022
0181,181,28,139,1084
0182,182,32,45,4676
0183,183,31,41,5908
0184,184,35,22,6931
0185,185,32,112,2467
0186,186,40,347,8591
0187,187,29,34,785
0188,188,25,30,16
0189,189,40,110,8097
0190,190,40,188,1593
0191,191,35,161,21466
0192,192,36,101,12424
0193,193,22,6,5379
0194,194,29,103,18075
0195,195,34,117,3810
0196,196,21,5,20078
0197,197,37,99,12015
0198,198,40,156,2517
0199,199,33,127,10205
0200,200,36,244,1609
0201,201,27,155,9764
0202,202,29,80,10547
0203,203,22,102,1670
0204,204,22,106,16218
0205,205,24,6,8172
0206,206,30,153,11171
0207,207,29,150,23218
0208,208,30,108,140
0209,209,34,122,11517
0210,210,35,17,4569
0211,211,23,110,15630
0212,212,30,192,14809
0213,213,30,84,22372
0214,214,22,43,3577
0215,215,33,170,4806
0216,216,20,87,19946
0217,217,38,230,4794
0218,218,40,80,9252
0219,219,22,91,7610
0220,220,37,203,14825
0221,221,33,183,8650
0222,222,36,276,12660
0223,223,25,48,11599
0224,224,34,64,4236
0225,225,28,105,14264
0226,226,24,108,26347
0227,227,20,33,11
0228,228,36,151,3474
0229,229,26,85,22565
0230,230,33,153,2163
0231,231,31,70,9825
0232,232,39,125,1053
0233,233,40,103,14650
0234,234,36,206,6062
0235,235,28,113,24456
0236,236,23,102,108
0237,237,31,119,14909
0238,238,37,191,479
0239,239,31,74,23877
0240,240,31,21,1941
0241,241,33,226,4589
0242,242,22,110,10996
0243,243,28,125,15206
0244,244,21,12,1555
0245,245,27,65,21584
0246,246,34,134,25148
0247,247,29,169,319
0248,248,32,198,5548
0249,249,23,92,19632
0250,250,32,84,7278
0251,251,25,108,10618
0252,252,32,70,23423
0253,253,31,67,11264
0254,254,32,211,7057
0255,255,20,86,4263
0256,256,21,99,2175
0257,257,37,1,10707
0258,258,25,127,519
0259,259,22,26,755
0260,260,25,28,8987
0261,261,40,287,9412
0262,262,27,105,22945
0263,263,30,1,17599
0264,264,24,9,1236
0265,265,31,93,6049
0266,266,40,370,9022
0267,267,23,18,2243
0268,268,26,11,12880
0269,269,32,54,18492
0270,270,33,48,5255
0271,271,30,146,10249
0272,272,31,76,19553
0273,273,35,189,8155
0274,274,40,261,7703
0275,275,29,58,5676
0276,276,40,25,4434
0277,277,20,98,23049
0278,278,39,71,5882
0279,279,26,128,12480
0280,280,40,154,26021
0281,281,22,118,4077
0282,282,21,130,19013
0283,283,25,145,2722
0284,284,21,77,31
0285,285,23,37,6934
0286,286,31,143,5770
0287,287,34,50,4092
0288,288,37,133,7225
0289,289,40,165,70
0290,290,40,331,385
0291,291,23,94,31509
0292,292,26,20,6683
0293,293,35,80,13802
0294,294,38,212,6940
0295,295,35,164,4068
0296,296,37,208,14472
0297,297,20,105,1455
0298,298,38,172,2458
0299,299,31,67,12384
0300,300,37,321,1146
0301,301,23,148,2546
0302,302,22,4,12568
0303,303,35,228,11238
0304,304,31,74,6404
0305,305,26,137,936
0306,306,37,174,318
0307,307,35,189,1580
0308,308,20,32,27387
0309,309,21,24,316
0310,310,25,63,4639
0311,311,30,44,13416
0312,312,30,128,329
0313,313,29,41,19311
0314,314,28,73,14374
0315,315,32,69,6721
