SCORE STATISTICS
==================================================
Test cases:      1000
Sum:             2277925
Mean:            2277.93
Median:          1340.5
Min:             6
Max:             15371
Range:           15365
Std Dev:         2541.67
Variance:        6460094.87
25th percentile: 408
75th percentile: 3210
90th percentile: 5982
95th percentile: 7742

DETAILED RESULTS
==================================================
Seed	Score
0000	1004
0001	1101
0002	132
0003	494
0004	2536
0005	2364
0006	154
0007	1509
0008	79
0009	1022
0010	260
0011	2078
0012	2030
0013	173
0014	3469
0015	279
0016	152
0017	300
0018	263
0019	3828
0020	4133
0021	3059
0022	1322
0023	6
0024	254
0025	531
0026	4446
0027	303
0028	953
0029	6948
0030	586
0031	2709
0032	5256
0033	155
0034	640
0035	54
0036	238
0037	207
0038	63
0039	869
0040	4503
0041	318
0042	351
0043	918
0044	1182
0045	2036
0046	92
0047	5374
0048	7276
0049	576
0050	154
0051	754
0052	2846
0053	2127
0054	9111
0055	305
0056	2295
0057	4712
0058	3612
0059	2929
0060	2150
0061	582
0062	3713
0063	2394
0064	3166
0065	48
0066	138
0067	602
0068	1052
0069	157
0070	7613
0071	4571
0072	1062
0073	886
0074	83
0075	9633
0076	263
0077	861
0078	402
0079	313
0080	1707
0081	514
0082	3565
0083	1986
0084	2594
0085	171
0086	299
0087	2136
0088	966
0089	1460
0090	398
0091	1970
0092	3866
0093	5403
0094	6343
0095	3238
0096	654
0097	4123
0098	3324
0099	797
0100	1289
0101	1205
0102	6672
0103	5788
0104	78
0105	109
0106	1718
0107	1796
0108	1057
0109	1472
0110	127
0111	5982
0112	1675
0113	85
0114	2342
0115	1164
0116	1288
0117	9587
0118	8044
0119	484
0120	177
0121	4592
0122	1193
0123	3172
0124	967
0125	1425
0126	5083
0127	3342
0128	349
0129	1655
0130	7742
0131	1519
0132	5331
0133	134
0134	3742
0135	470
0136	293
0137	2024
0138	6118
0139	81
0140	466
0141	2560
0142	515
0143	1200
0144	644
0145	1142
0146	2016
0147	10628
0148	449
0149	3814
0150	2014
0151	972
0152	137
0153	485
0154	1343
0155	1848
0156	365
0157	1300
0158	1802
0159	190
0160	1005
0161	1736
0162	5736
0163	1757
0164	213
0165	2177
0166	567
0167	337
0168	6957
0169	3393
0170	1203
0171	632
0172	2459
0173	5433
0174	5132
0175	2643
0176	300
0177	4266
