12
6
50
190
0	1
3098	4647
11	
1	1
3098	4647
1	
2	1
3098	4647
11	
3	1
3098	4647
10	
4	1
3098	4647
4	
5	1
3098	4647
1	
6	1
3098	4647
18	
7	1
3098	4647
3	
8	1
3098	4647
0	
9	1
3098	4647
9	
10	1
3098	4647
9	
11	1
3098	4647
17	
12	1
3098	4647
0	
13	1
3098	4647
4	
14	1
3098	4647
12	
15	1
3098	4647
5	
16	1
3098	4647
12	
17	1
3098	4647
19	
18	1
3098	4647
7	
19	1
3098	4647
8	
20	1
3098	4647
18	
21	1
3098	4647
16	
22	1
3098	4647
9	
23	1
3098	4647
19	
24	1
3098	4647
8	
25	1
3098	4647
1	
26	1
3098	4647
18	
27	1
3098	4647
12	
28	1
3098	4647
0	
29	1
3098	4647
14	
30	1
3098	4647
14	
31	1
3098	4647
15	
32	1
3098	4647
2	
33	1
3098	4647
14	
34	1
3098	4647
7	
35	1
3098	4647
9	
36	1
3098	4647
8	
37	1
3098	4647
17	
38	1
3098	4647
17	
39	1
3098	4647
0	
40	1
3098	4647
19	
41	1
3098	4647
17	
42	1
3098	4647
1	
43	1
3098	4647
13	
44	1
3098	4647
5	
45	1
3098	4647
9	
46	1
3098	4647
14	
47	1
3098	4647
7	
48	1
3098	4647
0	
49	1
3098	4647
1	
50	1
3098	4647
3	
51	1
3098	4647
17	
52	1
3098	4647
4	
53	1
3098	4647
5	
54	1
3098	4647
0	
55	1
3098	4647
16	
56	1
3098	4647
8	
57	1
3098	4647
17	
58	1
3098	4647
11	
59	1
3098	4647
19	
60	1
3098	4647
18	
61	1
3098	4647
3	
62	1
3098	4647
17	
63	1
3098	4647
8	
64	1
3098	4647
13	
65	1
3098	4647
17	
66	1
3098	4647
16	
67	1
3098	4647
12	
68	1
3098	4647
1	
69	1
3098	4647
17	
70	1
3098	4647
7	
71	1
3098	4647
5	
72	1
3098	4647
2	
73	1
3098	4647
16	
74	1
3098	4647
1	
75	1
3098	4647
7	
76	1
3098	4647
19	
77	1
3098	4647
9	
78	1
3098	4647
5	
79	1
3098	4647
5	
80	1
3098	4647
19	
81	1
3098	4647
19	
82	1
3098	4647
18	
83	1
3098	4647
9	
84	1
3098	4647
0	
85	1
3098	4647
6	
86	1
3098	4647
19	
87	1
3098	4647
11	
88	1
3098	4647
5	
89	1
3098	4647
0	
90	1
3098	4647
4	
91	1
3098	4647
2	
92	1
3098	4647
0	
93	1
3098	4647
19	
94	1
3098	4647
7	
95	1
3098	4647
15	
96	1
3098	4647
0	
97	1
3098	4647
11	
98	1
3098	4647
2	
99	1
3098	4647
6	
100	1
3098	4647
11	
101	1
3098	4647
18	
102	1
3098	4647
11	
103	1
3098	4647
14	
104	1
3098	4647
4	
105	1
3098	4647
17	
106	1
3098	4647
8	
107	1
3098	4647
11	
108	1
3098	4647
1	
109	1
3098	4647
4	
